helper,version,commit
bpf_map_lookup_elem,3.19,d0003ec01c667b731c139e23de3306a8b328ccf5
bpf_map_update_elem,3.19,d0003ec01c667b731c139e23de3306a8b328ccf5
bpf_map_delete_elem,3.19,d0003ec01c667b731c139e23de3306a8b328ccf5
bpf_probe_read,4.1,2541517c32be2531e0da59dfd7efc1ce844644f5
bpf_trace_printk,4.1,9c959c863f8217a2ff3d7c296e8223654d240569
bpf_get_prandom_u32,4.1,03e69b508b6f7c51743055c9f61d1dfeadf4b635
bpf_get_smp_processor_id,4.1,c04167ce2ca0ecaeaafef006cb0d65cf01b68e42
bpf_skb_store_bytes,4.1,91bc4822c3d61b9bb7ef66d3b77948a4f9177954
bpf_l3_csum_replace,4.1,91bc4822c3d61b9bb7ef66d3b77948a4f9177954
bpf_l4_csum_replace,4.1,91bc4822c3d61b9bb7ef66d3b77948a4f9177954
bpf_ktime_get_ns,4.2,17ca8cbf49be3aa94bb1c2b7ee6545fd70094eb4
bpf_tail_call,4.2,04fd61ab36ec065e194ab5e74ae34a5240d992bb
bpf_clone_redirect,4.2,3896d655f4d491c67d669a15f275a39f713410f8
bpf_get_current_pid_tgid,4.2,ffeedafbf0236f03aeb2e8db273b3e5ae5f5bc89
bpf_get_current_uid_gid,4.2,ffeedafbf0236f03aeb2e8db273b3e5ae5f5bc89
bpf_get_current_comm,4.2,ffeedafbf0236f03aeb2e8db273b3e5ae5f5bc89
bpf_get_cgroup_classid,4.3,8d20aabe1c76cccac544d9fcc3ad7823d9e98a2d
bpf_skb_vlan_push,4.3,4e10df9a60d96ced321dd2af71da558c6b750078
bpf_skb_vlan_pop,4.3,4e10df9a60d96ced321dd2af71da558c6b750078
bpf_skb_get_tunnel_key,4.3,d3aa45ce6b94c65b83971257317867db13e5f492
bpf_skb_set_tunnel_key,4.3,d3aa45ce6b94c65b83971257317867db13e5f492
bpf_perf_event_read,4.3,35578d7984003097af2b1e34502bc943d40c1804
bpf_redirect,4.4,27b29f63058d26c6c1742f1993338280d5a41dc6
bpf_get_route_realm,4.4,c46646d0484f5d08e2bede9b45034ba5b8b489cc
bpf_perf_event_output,4.4,a43eec304259a6c637f4014a6d4767159b6a3aa3
bpf_skb_load_bytes,4.5,05c74e5e53f6cb07502c3e6a820f33e2777b6605
bpf_get_stackid,4.6,d5a3b1f691865be576c2bffa708549b8cdccda19
bpf_csum_diff,4.6,7d672345ed295b1356a5d9f7111da1d1d7d65867
bpf_skb_get_tunnel_opt,4.6,14ca0751c96f8d3d0f52e8ed3b3236f8b34d3460
bpf_skb_set_tunnel_opt,4.6,14ca0751c96f8d3d0f52e8ed3b3236f8b34d3460
bpf_skb_change_proto,4.8,6578171a7ff0c31dc73258f93da7407510abf085
bpf_skb_change_type,4.8,d2485c4242a826fdf493fd3a27b8b792965b9b9e
bpf_skb_under_cgroup,4.8,747ea55e4f78fd980350c39570a986b8c1c3e4aa
bpf_get_hash_recalc,4.8,13c5c240f789bbd2bcacb14a23771491485ae61f
bpf_get_current_task,4.8,606274c5abd8e245add01bc7145a8cbb92b69ba8
bpf_probe_write_user,4.8,96ae52279594470622ff0585621a13e96b700600
bpf_current_task_under_cgroup,4.9,60d20f9195b260bdf0ac10c275ae9f6016f9c069
bpf_skb_change_tail,4.9,5293efe62df81908f2e90c9820c7edcc8e61f5e9
bpf_skb_pull_data,4.9,36bbef52c7eb646ed6247055a2acd3851e317857
bpf_csum_update,4.9,36bbef52c7eb646ed6247055a2acd3851e317857
bpf_set_hash_invalid,4.9,7a4b28c6cc9ffac50f791b99cc7e46106436e5d8
bpf_get_numa_node_id,4.10,2d0e30c30f84d08dc16f0f2af41f1b8a85f0755e
bpf_skb_change_head,4.10,3a0af8fd61f90920f6fa04e4f1e9a6a73c1b4fd2
bpf_xdp_adjust_head,4.10,17bedab2723145d17b14084430743549e6943d03
bpf_probe_read_str,4.11,a5e8c07059d0f0b31737408711d44794928ac218
bpf_get_socket_cookie,4.12,91b8270f2a4d1d9b268de90451cdca63a70052d6
bpf_get_socket_uid,4.12,6acc5c2910689fc6ee181bf63085c5efff6a42bd
bpf_set_hash,4.13,ded092cd73c2c56a394b936f86897f29b2e131c0
bpf_setsockopt,4.13,8c4b4c7e9ff0447995750d9329949fa082520269
bpf_skb_adjust_room,4.13,2be7e212d5419a400d051c84ca9fdd083e5aacac
bpf_redirect_map,4.14,97f91a7cf04ff605845c20948b8a80e54cbd3376
bpf_sk_redirect_map,4.14,174a79ff9515f400b9a6115643dafd62a635b7e6
bpf_sock_map_update,4.14,174a79ff9515f400b9a6115643dafd62a635b7e6
bpf_xdp_adjust_meta,4.15,de8f3a83b0a0fddb2cf56e7a718127e9619ea3da
bpf_perf_event_read_value,4.15,908432ca84fc229e906ba164219e9ad0fe56f755
